"source_row","word","type","part_of_speech","comment"
"616","prevalent","style","adjective",""
"617","primarily","style","adverb",""
"618","primary","style","adjective",""
"621","prioritize","content/style","verb","edge case -- ""vaccine prioritizations"""
"622","prioritizes","content/style","verb",""
"623","prioritizing","content/style","verb",""
"625","prominence","content/style","noun","""linguistic prominence"" and some other terms"
"626","promise","style","verb",""
"627","promising","style","verb",""
"628","prompting","content/style","verb","can be about LLM prompts"
"631","pronounced","style","adjective",""
"632","propelling","style","verb",""
"634","providing","style","verb",""
"651","realizes","style","verb",""
"652","realm","style","noun",""
"653","realms","style","noun",""
"654","recognizing","style","verb",""
"656","refine","style","verb",""
"657","refines","style","verb",""
"658","refining","style","verb",""
"659","reframing","style","verb",""
"662","reliance","content/style","noun","can have technical and non-technical meanings"
"663","remains","style","verb",""
"664","remarkable","style","adjective",""
"666","remotely","content/style","adjective",""
"667","renowned","style","adjective",""
"670","research","style","noun",""
"676","resulting","style","verb",""
"677","resuming","content/style","verb","can relate to covid pandemic"
"678","rethink","style","verb",""
"680","revealed","style","verb",""
"681","revealing","style","verb",""
"682","reveals","style","verb",""
"684","revolutionize","style","verb",""
"685","revolutionizing","style","verb",""
"686","revolves","style","verb",""
"690","role","style","noun",""
"703","scrutinize","style","verb",""
"704","scrutinized","style","verb",""
"705","scrutinizing","style","verb",""
"707","seamless","style","adjective",""
"708","seamlessly","style","adverb",""
"709","seeks","style","verb",""
"712","serves","style","verb",""
"713","serving","style","verb",""
"717","shaping","style","verb",""
"719","shedding","style","verb",""
"723","showcased","style","verb",""
"724","showcases","style","verb",""
"725","showcasing","style","verb",""
"728","significant","content/style","adjective","can mean ""statistically significant"" but not necessarily"
"729","signifying","style","verb",""
"735","solidify","style","verb",""
"738","spanned","style","verb",""
"739","spanning","style","verb",""
"741","specifically","style","adverb",""
"745","spurred","style","verb",""
"748","standardizing","style/content","verb","can have technical and non-technical meanings"
"749","stands","style","verb",""
"751","statement","style","noun",""
"753","stemming","style","verb",""
"755","strategically","style","adjective",""
"756","strategies","style","noun",""
"757","streamline","style","verb",""
"758","streamlined","style","verb",""
"759","streamlines","style","verb",""
"760","streamlining","style","verb",""
"764","struggle","style","verb",""
"767","subsequently","style","adverb",""
"768","substantial","style","adjective",""
"769","substantiated","style","verb",""
"770","substantiates","style","verb",""
"773","surged","style","verb",""
"774","surmount","style","verb",""
"775","surpass","style","verb",""
"776","surpassed","style","verb",""
"777","surpasses","style","verb",""
"778","surpassing","style","verb",""
"781","swift","style","adjective",""
"782","swiftly","style","adverb",""
"787","synthesizes","style/content","verb","can have technical and non-technical meanings"
"793","techniques","style","noun",""
"797","their","style","pronoun",""
"800","thereby","style","adverb",""
"801","these","style","pronoun",""
"802","this","style","pronoun",""
"803","thorough","style","adjective",""
"804","through","style","preposition",""
"813","transformative","style","adjective",""
"827","typically","style","adverb",""
"829","ultimately","style","adverb",""
"830","uncharted","style","adjective",""
"831","uncovering","style","verb",""
"832","underexplored","style","verb",""
"833","underscore","style","verb",""
"834","underscored","style","verb",""
"835","underscores","style","verb",""
"836","underscoring","style","verb",""
"837","understanding","style","verb",""
"838","unexplored","style","adjective",""
"839","unlocking","style","verb",""
"840","unparalleled","style","adjective",""
"841","unraveling","style","verb",""
"843","unveil","style","verb",""
"844","unveiled","style","verb",""
"845","unveiling","style","verb",""
"846","unveils","style","verb",""
"848","uphold","style","verb",""
"849","upholding","style","verb",""
"850","urging","style","verb",""
"851","using","style","verb",""
"852","utilized","style","verb",""
"853","utilizes","style","verb",""
"854","utilizing","style","verb",""
"862","valuable","style","adjective",""
"865","various","style","adjective",""
"866","varying","style","verb",""
"870","verifies","style","verb",""
"871","versatility","style","noun",""
"877","wandering","style","verb",""
"880","warranting","style","verb",""
"883","were","style","verb",""
"886","while","style","preposition",""
"888","within","style","adverb",""
"894","yielding","style","verb",""
